y,y_pred_20feature
0,0.481713295
0,0.481698066
0,0.481664807
0,0.481794655
1,0.763838112
0,0.481782913
1,0.664244652
1,0.481761277
1,0.664244652
1,0.481795222
0,0.48167488
1,0.481746078
1,0.481786102
1,0.481829345
1,0.664244652
1,0.388080001
0,0.481840611
1,0.481788933
0,0.481790483
1,0.481825888
0,0.481637359
0,0.481751263
1,0.481794447
1,0.664244652
0,0.481746852
0,0.48170194
0,0.481738269
0,0.481731117
0,0.48171705
1,0.763994277
0,0.00263992
0,0.48170948
0,0.481817007
1,0.66425848
1,0.481820703
1,0.763994277
1,0.481847823
0,0.48186174
1,0.664244652
0,0.48179248
1,0.481683195
0,0.481611192
1,0.664244652
1,0.481738657
0,0.48178643
0,0.481721401
0,0.481799662
0,0.481774688
1,0.481753021
1,0.481823683
1,0.481845826
0,0.252272636
1,0.481836349
1,0.481783599
0,0.481805116
1,0.481848598
1,0.481692672
0,0.481797576
1,0.664244652
1,0.481645763
1,0.664244652
1,0.481794804
0,0.481707722
1,0.481785178
1,0.48183766
1,0.48175323
1,0.664244652
1,0.481706977
1,0.481652796
0,0.481673628
1,0.481795013
0,0.481813997
0,0.481817335
1,0.410329401
1,0.481804907
0,0.481687874
1,0.481723994
0,0.481822699
0,0.481766164
1,0.763911307
1,0.680670202
0,0.481766164
0,0.481826991
0,0.481703222
1,0.481801748
1,0.481807411
1,0.48175168
0,0.481772274
0,0.481729418
0,0.481793016
0,0.481819093
0,0.404796898
1,0.481750518
1,0.481624871
